Order Date,Order ID,Payment Instrument Type,Website,Purchase Order Number,Ordering Customer Email,Shipment Date,Shipping Address Name,Shipping Address Street 1,Shipping Address Street 2,Shipping Address City,Shipping Address State,Shipping Address Zip,Order Status,Carrier Name & Tracking Number,Subtotal,Shipping Charge,Tax Before Promotions,Total Promotions,Tax Charged,Total Charged,Buyer Name,Group Name
4/1/19,112-0000000-0000001,Visa - 0001,Amazon.com,,your_email@gmail.com,4/1/19,Your Name,1 YOUR STREET,,ANYTOWN,ME,00001-0001,Shipped,USPS(0001),35,0,1.93,0,1.93,36.93,Your Name,
4/1/19,112-0000000-0000002,Visa - 0001,Amazon.com,,your_email@gmail.com,4/1/19,Your Name,1 YOUR STREET,,ANYTOWN,ME,00001-0001,Shipped,USPS(0001),16.99,0,0,0,0,16.99,Your Name,
4/1/19,112-0000000-0000003,Visa - 0001,Amazon.com,,your_email@gmail.com,4/1/19,Your Name,1 YOUR STREET,,ANYTOWN,ME,00001-0001,Shipped,USPS(0001),9.99,0,0,0,0,9.99,Your Name,
4/4/19,112-0000000-0000004,Visa - 0001,Amazon.com,,your_email@gmail.com,4/5/19,Your Name,1 YOUR STREET,,ANYTOWN,ME,00001-0001,Shipped,UPS(0002),147.98,0,8.14,0,8.14,156.12,Your Name,
4/5/19,112-0000000-0000005,Visa - 0001,Amazon.com,,your_email@gmail.com,4/7/19,Your Name,1 YOUR STREET,,ANYTOWN,ME,00001-0001,Shipped,USPS(0001),14.99,0,0,0,0,14.99,Your Name,
4/5/19,112-0000000-0000006,Visa - 0001,Amazon.com,,your_email@gmail.com,4/8/19,Your Name,1 YOUR STREET,,ANYTOWN,ME,00001-0001,Shipped,USPS(0001),11.99,0,0.66,0,0.66,12.65,Your Name,
4/7/19,112-0000000-0000007,Visa - 0001,Amazon.com,,your_email@gmail.com,4/8/19,Your Name,1 YOUR STREET,,ANYTOWN,ME,00001-0001,Shipped,USPS(0001),38.98,0,1.65,0,1.65,40.63,Your Name,
4/8/19,112-0000000-0000008,Visa - 0001,Amazon.com,,your_email@gmail.com,4/8/19,Your Name,1 YOUR STREET,,ANYTOWN,ME,00001-0001,Shipped,UPS(0002),44.99,0,0,0,0,44.99,Your Name,
4/20/19,112-0000000-0000009,Visa - 0001,Amazon.com,,your_email@gmail.com,4/21/19,Your Name,1 YOUR STREET,,ANYTOWN,ME,00001-0001,Shipped,USPS(0001),27.3,0,1.5,0,1.5,28.8,Your Name,
4/23/19,112-0000000-0000010,Visa - 0001,Amazon.com,,your_email@gmail.com,4/24/19,Your Name,1 YOUR STREET,,ANYTOWN,ME,00001-0001,Shipped,UPS(0002),37.08,0,0,0,0,37.08,Your Name,
5/5/19,112-0000000-0000011,Visa - 0001,Amazon.com,,your_email@gmail.com,5/7/19,Your Name,1 YOUR STREET,,ANYTOWN,ME,00001-0001,Shipped,China Post(0003),12.99,0,0,0,0,12.99,Your Name,
5/6/19,112-0000000-0000012,Visa - 0001,Amazon.com,,your_email@gmail.com,5/7/19,Your Name,1 YOUR STREET,,ANYTOWN,ME,00001-0001,Shipped,USPS(0001),7.2,0,0.4,0,0.4,7.6,Your Name,
5/10/19,112-0000000-0000013,Visa - 0001,Amazon.com,,your_email@gmail.com,5/12/19,Your Name,1 YOUR STREET,,ANYTOWN,ME,00001-0001,Shipped,USPS(0001),27.99,0,0,0,0,27.99,Your Name,
5/14/19,112-0000000-0000014,Visa - 0001,Amazon.com,,your_email@gmail.com,5/15/19,Your Name,1 YOUR STREET,,ANYTOWN,ME,00001-0001,Shipped,USPS(0001),15.32,0,0.84,0,0.84,16.16,Your Name,
5/18/19,112-0000000-0000015,Visa - 0001,Amazon.com,,your_email@gmail.com,5/19/19,Your Name,1 YOUR STREET,,ANYTOWN,ME,00001-0001,Shipped,USPS(0001),9.95,0,0.55,0,0.55,10.5,Your Name,
5/19/19,112-0000000-0000016,Visa - 0001,Amazon.com,,your_email@gmail.com,5/20/19,Your Name,1 YOUR STREET,,ANYTOWN,ME,00001-0001,Shipped,USPS(0001),38.89,0,0,0,0,38.89,Your Name,
5/21/19,112-0000000-0000017,Visa - 0001,Amazon.com,,your_email@gmail.com,5/22/19,Your Name,1 YOUR STREET,,ANYTOWN,ME,00001-0001,Shipped,USPS(0001),8.95,0,0.49,0,0.49,9.44,Your Name,
5/21/19,112-0000000-0000018,Visa - 0001,Amazon.com,,your_email@gmail.com,5/22/19,Your Name,1 YOUR STREET,,ANYTOWN,ME,00001-0001,Shipped,USPS(0001),12.99,0,0,0,0,12.99,Your Name,
5/21/19,112-0000000-0000019,Visa - 5555,Amazon.com,,your_email@gmail.com,5/22/19,Your Name,1 YOUR STREET,,ANYTOWN,ME,00001-0001,Shipped,USPS(0001),7.99,0,0,0,0,7.99,Your Name,
5/22/19,112-0000000-0000020,Visa - 5555,Amazon.com,,your_email@gmail.com,5/22/19,Your Name,1 YOUR STREET,,ANYTOWN,ME,00001-0001,Shipped,USPS(0001),16.98,0,0.93,0,0.93,17.91,Your Name,
5/22/19,112-0000000-0000021,Visa - 5555,Amazon.com,,your_email@gmail.com,5/23/19,Your Name,1 YOUR STREET,,ANYTOWN,ME,00001-0001,Shipped,USPS(0001),35,0,1.92,0,1.92,36.92,Your Name,
5/22/19,112-0000000-0000022,Visa - 5555,Amazon.com,,your_email@gmail.com,5/23/19,Your Name,1 YOUR STREET,,ANYTOWN,ME,00001-0001,Shipped,USPS(0001),7.5,0,0.41,0,0.41,7.91,Your Name,
5/24/19,112-0000000-0000023,Visa - 0001,Amazon.com,,your_email@gmail.com,5/25/19,Your Name,1 YOUR STREET,,ANYTOWN,ME,00001-0001,Shipped,USPS(0001),7.67,0,0,0,0,7.67,Your Name,
5/25/19,112-0000000-0000024,Visa - 0001,Amazon.com,,your_email@gmail.com,5/27/19,Your Name,1 YOUR STREET,,ANYTOWN,ME,00001-0001,Shipped,USPS(0001),9.8,0,0,0,0,9.8,Your Name,
5/28/19,112-0000000-0000025,Visa - 0001,Amazon.com,,your_email@gmail.com,5/28/19,Your Name,1 YOUR STREET,,ANYTOWN,ME,00001-0001,Shipped,USPS(0001),13.95,0,0,0,0,13.95,Your Name,
5/29/19,112-0000000-0000026,Visa - 0001,Amazon.com,,your_email@gmail.com,5/30/19,Your Name,1 YOUR STREET,,ANYTOWN,ME,00001-0001,Shipped,USPS(0001),9.99,0,0,0,0,9.99,Your Name,
